case_id,block_qualname,label,is_downstream,compile_neg_count,compile_pos_count,static_neg_count,static_pos_count,exec_neg_count,exec_pos_count,llm_neg_count,llm_pos_count,critic_neg_count,critic_pos_count,compile_neg_weight_sum,compile_pos_weight_sum,static_neg_weight_sum,static_pos_weight_sum,exec_neg_weight_sum,exec_pos_weight_sum,llm_neg_weight_sum,llm_pos_weight_sum,critic_neg_weight_sum,critic_pos_weight_sum,cyclomatic,loc,depth,n_params,log_cyclomatic,log_loc,static_exec_interaction,static_critic_interaction,exec_critic_interaction,llm_critic_interaction
stats:boundary:1,mean,1,0,0,1,1,0,0,1,0,1,1,0,0.0,0.1,0.3,0.0,0.0,0.3,0.0,0.6835016835016836,0.452,0.0,2,4,1,1,0.6931471805599453,1.6094379124341003,-0.09,0.1356,-0.1356,-0.308942760942761
stats:boundary:1,variance,1,0,0,1,1,0,0,1,0,1,1,0,0.0,0.1,0.3,0.0,0.0,0.3,0.0,0.6064257028112447,0.49,0.0,3,5,1,1,1.0986122886681098,1.791759469228055,-0.09,0.147,-0.147,-0.2971485943775099
stats:boundary:1,stddev,1,0,0,1,0,1,0,1,0,1,1,0,0.0,0.1,0.0,0.22,0.0,0.3,0.0,0.8365472910927456,0.476,0.0,1,2,0,1,0.0,1.0986122886681098,0.066,-0.10472,-0.14279999999999998,-0.3981965105601469
stats:boundary:1,zscores,0,0,0,1,1,0,1,0,0,1,1,0,0.0,0.1,0.3,0.0,0.95,0.0,0.0,0.5360983102918586,0.564,0.0,4,6,1,1,1.3862943611198906,1.9459101490553132,0.285,0.1692,0.5357999999999999,-0.3023594470046082
stats:boundary:1,summarize,1,0,0,1,0,1,1,0,0,1,1,0,0.0,0.1,0.0,0.22,0.374,0.0,0.0,0.8365472910927456,0.43,0.0,1,2,0,1,0.0,1.0986122886681098,-0.08228,-0.0946,0.16082,-0.35971533516988063
stats:arithmetic:0,mean,1,0,0,1,1,0,0,1,0,1,1,0,0.0,0.1,0.3,0.0,0.0,0.3,0.0,0.6835016835016836,0.452,0.0,2,4,1,1,0.6931471805599453,1.6094379124341003,-0.09,0.1356,-0.1356,-0.308942760942761
stats:arithmetic:0,variance,0,0,0,1,1,0,1,0,0,1,1,0,0.0,0.1,0.3,0.0,0.785,0.0,0.0,0.6064257028112447,0.49,0.0,3,5,1,1,1.0986122886681098,1.791759469228055,0.2355,0.147,0.38465,-0.2971485943775099
stats:arithmetic:0,stddev,1,1,0,1,0,1,0,1,0,1,1,0,0.0,0.1,0.0,0.22,0.0,0.3,0.0,0.8365472910927456,0.476,0.0,1,2,0,1,0.0,1.0986122886681098,0.066,-0.10472,-0.14279999999999998,-0.3981965105601469
stats:arithmetic:0,zscores,1,1,0,1,1,0,1,0,0,1,1,0,0.0,0.1,0.3,0.0,0.95,0.0,0.0,0.5360983102918586,0.564,0.0,4,6,1,1,1.3862943611198906,1.9459101490553132,0.285,0.1692,0.5357999999999999,-0.3023594470046082
stats:arithmetic:0,summarize,1,1,0,1,0,1,1,0,0,1,1,0,0.0,0.1,0.0,0.22,0.785,0.0,0.0,0.8365472910927456,0.43,0.0,1,2,0,1,0.0,1.0986122886681098,-0.17270000000000002,-0.0946,0.33755,-0.35971533516988063
